1|High School|HighSchool|High School is the domain to which the Grade Point Average is referencing.||1.00||
2|Postsecondary Undergraduate|PSUndergraduate|Postsecondary Undergraduate is the domain to which the Grade Point Average is referencing.||2.00||
3|Postsecondary Transfer Institution|PSTransfer|Postsecondary Transfer Institution is the domain to which the Grade Point Average is referencing.||3.00||
4|Postsecondary Graduate|PSGraduate|Postsecondary Graduate is the domain to which the Grade Point Average is referencing.||4.00||
