1|Minimum|Minimum|Minimum is the distinction of the diploma or credential that is awarded to a student in recognition of their completion of the curricular requirements.||1.00||
2|Recommended|Recommended|Recommended is the distinction of the diploma or credential that is awarded to a student in recognition of their completion of the curricular requirements.||2.00||
3|Distinguished|Distinguished|Distinguished is the distinction of the diploma or credential that is awarded to a student in recognition of their completion of the curricular requirements.||3.00||
4|Open Enrollment|OpenEnrollment|Open Enrollment is the distinction of the diploma or credential that is awarded to a student in recognition of their completion of the curricular requirements.||4.00||
5|Magna cum laude|MagnaCumLaude|Magna cum laude is the distinction of the diploma or credential that is awarded to a student in recognition of their completion of the curricular requirements.||5.00||
6|Summa cum laude|SummaCumLaude|Summa cum laude is the distinction of the diploma or credential that is awarded to a student in recognition of their completion of the curricular requirements.||6.00||
