1|Scheduling accommodations|Scheduling|Scheduling accommodations is specified as the category of accommodations needed for a given assessment.||1.00||
2|Settings accommodations|Setting|Settings accommodations is specified as the category of accommodations needed for a given assessment.||2.00||
3|Student equipment/technology|EquipmentOrTechnology|Student equipment/technology is specified as the category of accommodations needed for a given assessment.||3.00||
4|Test administration accommodation|TestAdministration|Test administration accommodations is specified as the category of accommodations needed for a given assessment.||4.00||
5|Test material accommodations|TestMaterial|Test material accommodations is specified as the category of accommodations needed for a given assessment.||5.00||
6|Test response accommodation|TestResponse|Test response accommodations is specified as the category of accommodations needed for a given assessment.||6.00||
7|English learner accommodation|EnglishLearner|English learner accommodations is specified as the category of accommodations needed for a given assessment.||7.00||
8|504 accommodation|504|504 accommodations is specified as the category of accommodations needed for a given assessment.||8.00||
9|Other|Other|Others is specified as the category of accommodations needed for a given assessment.||99.00||
