1|Face Virtual|FaceVirtual|The school focuses on a systematic program of virtual instruction but includes some physical meetings among students or with teachers.||1.00||
2|Full Virtual|FullVirtual|The school has no physical building where students meet with each other or with teachers and all instruction is virtual.||2.00||
3|Not Virtual|NotVirtual|The school does not offer any virtual instruction.||3.00||
4|Supplemental Virtual|SupplementalVirtual|The school offers virtual courses but virtual instruction is not the primary means of instruction.||4.00||
