1|Head Start|01|Head Start is another contributing funding source.||1.00||
2|Early Head Start|02|Early Head Start is another contributing funding source.||3.00||
3|Office of Child Care-CCDF|03|Office of Child Care-CCDF is another contributing funding source.||5.00||
4|Early Intervention Part C|04|Early Intervention Part C is another contributing funding source.||7.00||
5|Special Education Preschool Part B 619|05|Special Education Preschool Part B 619 is another contributing funding source.||9.00||
6|Other|99|The  other contributing funding source is in a category not yet included in CEDS.||99.00||
