1|Week|Week|The value specified for Learner Activity Maximum Time Allowed is a number of weeks.||1.00||
2|Day|Day|The value specified for Learner Activity Maximum Time Allowed is a number of days.||2.00||
3|Hour|Hour|The value specified for Learner Activity Maximum Time Allowed is a number of hours.||3.00||
4|Minute|Minute|The value specified for Learner Activity Maximum Time Allowed is a number of minute.||4.00||
5|Second|Second|The value specified for Learner Activity Maximum Time Allowed is a number of seconds.||5.00||
