1|In district use|75021|In district use is specified as the generalized use or control of a campus, independent of program type.||1.00||
2|Leased|75022|Leased is specified as the generalized use or control of a campus, independent of program type.||2.00||
3|Inactive|75023|Inactive is specified as the generalized use or control of a campus, independent of program type.||3.00||
4|Decommissioned|75024|Decommissioned is specified as the generalized use or control of a campus, independent of program type.||4.00||
5|Sold|75025|Sold is specified as the generalized use or control of a campus, independent of program type.||5.00||
