1|Highest Level of Education Completed|000141|||||
2|Competency Definition Education Level|000725|||||
3|Maternal Guardian Education|001229|||||
4|Paternal Guardian Education|001230|||||
5|Learning Resource Education Levelÿ|001246|||||
