ba63d8eb-81b7-4788-a0c8-9d2b9191ae61|A person or organization responsible for the design of flexible covers designed for or published with a book, including the type of materials used, and any decorative aspects of the bookjacket, UF Designer of bookjacket|bjd|Bookjacket designer||
4181abb4-050d-4381-af1e-94337a442492|A person or organization responsible for the design of a book owner's identification label that is most commonly pasted to the inside front cover of a book|bpd|Bookplate designer||
b4e72100-2ba4-4f7f-a820-e659e7747db4|A person or organization who makes books and other bibliographic materials available for purchase. Interest in the materials is primarily lucrative|bsl|Bookseller||
d991a46b-ff33-4458-aa28-c7e669dbcfeb|||Bowdlerizer, USE Censor||
98b01f4a-a678-4eef-9db0-1999640c4839|A person, family, or organization involved in manufacturing a resource by embossing Braille cells using a stylus, special embossing printer, or other device|brl|Braille embosser||
e6ac40fd-b11e-45c7-9d58-9c2bfff96423|A person, family, or organization involved in broadcasting a resource to an audience via radio, television, webcast, etc.|brd|Broadcaster||
4513dcf7-f101-482c-a15b-7be66fa1a422|A person or organization who writes in an artistic hand, usually as a copyist and or engrosser|cll|Calligrapher||
54d879be-a651-4f38-a334-665a66fda61c|A person, family, or organization responsible for creating a map, atlas, globe, or other cartographic work|ctg|Cartographer||
759e86ed-f737-45d9-9d99-4f717cd06323|A person, family, or organization involved in manufacturing a resource by pouring a liquid or molten substance into a mold and leaving it to solidify to take the shape of the mold|cas|Caster||
bdc53d54-4422-4e78-a7dc-e45c44086cdc|A person or organization who examines bibliographic resources for the purpose of suppressing parts deemed objectionable on moral, political, military, or other grounds, UF Bowdlerizer, UF Expurgator, Chief electrician, USE Electrician|cns|Censor||
8931a8af-d782-433d-ac2d-f33759bc44c6|A person responsible for creating or contributing to a work of movement|chr|Choreographer||
58e84f2c-a1eb-4261-a5dd-03e05b66d0ce|A person in charge of photographing a motion picture, who plans the technical aspets of lighting and photographing of scenes, and often assists the director in the choice of angles, camera setups, and lighting moods. He or she may also supervise the further processing of filmed material up to the completion of the work print. Cinematographer is also referred to as director of photography. Do not confuse with videographer, UF Director of photography|cng|Cinematographer||
fd0df315-e07e-445f-a98d-4770388ebe1f|A person or organization for whom another person or organization is acting|cli|Client||
1f79253c-3bde-4e0b-a303-dec4145242f7|||Collaborator, USE Contributor||
6236eb39-1974-40a8-8ea6-2f02858031f3|A curator who lists or inventories the items in an aggregate work such as a collection of items or works|cor|Collection registrar||
5bb4522e-d840-47b1-a773-0fb110ef5b76|A curator who brings together items from various sources that are then arranged, described, and cataloged as a collection. A collector is neither the creator of the material nor a person to whom manuscripts in the collection may have been addressed|col|Collector||
f062de46-192e-4b8e-9cd3-9861015ff44e|A person, family, or organization involved in manufacturing a manifestation of photographic prints from film or other colloid that has ink-receptive and ink-repellent surfaces|clt|Collotyper||
0b531b64-d3a7-4de5-bd4e-268479c389da|A person or organization responsible for applying color to drawings, prints, photographs, maps, moving images, etc|clr|Colorist||
763f940c-6c00-4beb-8f3c-7a4e3958ad50|A performer contributing to a work by providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium|cmm|Commentator||
3bac63e5-3f23-4a36-b1ea-f5e06ca03f80|A person or organization responsible for the commentary or explanatory notes about a text. For the writer of manuscript annotations in a printed book, use Annotator|cwt|Commentator for written text||
9f1e16ea-68ab-470e-9bd8-de9c9d48fbc2|A person, family, or organization responsible for creating a new work (e.g., a bibliography, a directory) through the act of compilation, e.g., selecting, arranging, aggregating, and editing data, information, etc|com|Compiler||
d4f71361-5254-4767-8482-7e35bd5b92b8|A person or organization who applies to the courts for redress, usually in an equity proceeding|cpl|Complainant||
6c576832-c065-4779-88ed-168d353341b7|A complainant who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding|cpt|Complainant-appellant||
882ba4b3-07d1-41d3-8519-82cf855ff1c0|A complainant against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding|cpe|Complainant-appellee||
86d6248f-bd05-46ab-aa0b-c646f5304dde|A person, family, or organization responsible for creating or contributing to a musical resource by adding music to a work that originally lacked it or supplements it|cmp|Composer||
7696ba3c-3830-432f-a932-07ffa95c4771|A person or organization responsible for the creation of metal slug, or molds made of other materials, used to produce the text and images in printed matter, UF Typesetter|cmt|Compositor||
