1|Home/personal|Home|Home/personal is the type of electronic mail (e-mail) address listed for a person or organization.||1.00||
2|Work|Work|Work is the type of electronic mail (e-mail) address listed for a person or organization.||2.00||
3|Organizational (school) address|Organizational|Organizational (school) address is the type of electronic mail (e-mail) address listed for a person or organization.||3.00||
4|Other|Other|Other is the type of electronic mail (e-mail) address listed for a person or organization.||4.00||
