1|In-person|InPerson|The types of communication methods with parents include in-person communication.||.00||
2|Phone|Phone|The types of communication methods with parents include Phone communications.||1.00||
3|Website|Website|The types of communication methods with parents include Website.||2.00||
4|Email|Email|The types of communication methods with parents include Email.||3.00||
5|Newsletter|Newsletter|The types of communication methods with parents include Newsletter.||4.00||
6|Bulletin board|BulletinBoard|The types of communication methods with parents include Bulletin board.||5.00||
7|Home visit|HomeVisit|The types of communication methods with parents include Home visit(s).||10.00||
8|Fax|Fax|The types of communication methods with parents include Fax.||12.00||
9|Other|Other|The types of communication methods with parents include Other.||14.00||
