1|Ebook|Ebook|Ebook is the specific format for the learning resource that is a book.||2.00||
2|Hardcover|Hardcover|Hardcover is the specific format for the learning resource that is a book.||4.00||
3|Paperback|Paperback|Paperback is the specific format for the learning resource that is a book.||6.00||
4|DAISY202|DAISY202|DAISY202 is the specific format for the learning resource that is a book.||8.00||
5|DAISY3|DAISY3|DAISY3 is the specific format for the learning resource that is a book.||10.00||
6|EPUB2|EPUB2|EPUB2 is the specific format for the learning resource that is a book.||12.00||
7|EPUB3|EPUB3|EPUB3 is the specific format for the learning resource that is a book.||14.00||
8|Other|Other|The specific format for the learning resource that is a book is in a category not yet defined in CEDS.||16.00||
