1|Title I Teachers|TitleITeacher|Title I Teachers is the category of staff working in a Title I program.||1.00||
2|Title I Paraprofessionals |TitleIParaprofessional|Title I Paraprofessionals is the category of staff working in a Title I program.||2.00||
3|Title I Clerical Support Staff|TitleISupportStaff|Title I Clerical Support Staff is the category of staff working in a Title I program.||3.00||
4|Title I Administrators (non-clerical)|TitleIAdministrator|Title I Administrators (non-clerical) is the category of staff working in a Title I program.||4.00||
5|Title I Other Paraprofessionals|TitleIOtherParaprofessional|Title I Other Paraprofessionals is the category of staff working in a Title I program.||5.00||
