1|Developmental Math|DevelopmentalMath|Developmental Math is the category of developmental education.||1.00||
2|Developmental English|DevelopmentalEnglish|Developmental English is the category of developmental education.||3.00||
3|Developmental Reading|DevelopmentalReading|Developmental Reading is the category of developmental education.||5.00||
4|Developmental English/Reading|DevelopmentalEnglishReading|Developmental English/Reading is the category of developmental education.||7.00||
5|Developmental Other|DevelopmentalOther|Developmental Other is the category of developmental education.||9.00||
