1|Active|Active|Awards of the credential are ongoing.||||
2|Deprecated|Deprecated|The credential is no longer awarded.||||
3|Probationary|Probationary|The credential award is provisional or temporary; frequently pending further assessment of qualification.||||
4|Superseded|Superseded|The credential is no longer awarded and has been superseded by another credential.||||
