1|Air distribution system|02455|The primary means by which air is circulated, freshened, and exhausted.||1.00||
2|Cooling generation system|02454|The type of mechanical systems and building designs used for cooling.||2.00||
3|Heating generation system|02453|The method by which the heat is distributed and delivered throughout the room(s) or building.||3.00||
4|Other|09999|Other is specified as the major manufactured systems required to operate a building.||99.00||
