1|Elevator|02516|Elevator is specified as a mechanical means for moving people and equipment within buildings.||1.00||
2|Escalator|02517|Escalator is specified as a mechanical means for moving people and equipment within buildings.||2.00||
3|Lift|13593|Lift is specified as a mechanical means for moving people and equipment within buildings.||3.00||
4|Moving Walk|13594|Moving Walk is specified as a mechanical means for moving people and equipment within buildings.||4.00||
5|Other conveying system|13595|Other conveying system is specified as a mechanical means for moving people and equipment within buildings.||5.00||
