1|Obtain a job|01|The person's reasons for attending an adult education class or program is to obtain a job.||1.00||
2|Retain current job|02|The person's reasons for attending an adult education class or program is to retain a current job.||2.00||
3|Earn a secondary school diploma or achieve GED certificate|03|The person's reasons for attending an adult education class or program is to earn a secondary school diploma or achieve GED certificate.||3.00||
4|Enter postsecondary education or job training|04|The person's reasons for attending an adult education class or program is to enter postsecondary education or job training.||4.00||
5|Improve basic literacy skills|05|The person's reasons for attending an adult education class or program is to improve basic literacy skills.||5.00||
6|Improve English language skills|06|The person's reasons for attending an adult education class or program is to improve English language skills.||6.00||
7|Obtain citizenship skills|07|The person's reasons for attending an adult education class or program is to obtain citizenship skills.||7.00||
8|Achieve work-based project learner goals|08|The person's reasons for attending an adult education class or program is to achieve work-based project learner goals.||8.00||
9|Other personal goals|09|The person's reasons for attending an adult education class or program is to achieve other personal goals.||9.00||
