1|Primary enrollment|PrimaryEnrollment|The related Classification of Instructional Program code is referencing primary enrollment.||1.00||
2|Additional enrollment|AdditionalEnrollment|The related Classification of Instructional Program code is referencing additional enrollment.||2.00||
3|Primary completion|PrimaryCompletion|The related Classification of Instructional Program code is referencing primary completion.||3.00||
4|Additional completion|AdditionalCompletion|The related Classification of Instructional Program code is referencing additional completion.||4.00||
