1|Not Affordable|NotAffordable|The student cannot access the internet in their primary place of residence because internet service is not affordable.||1.00||
2|Not Available|NotAvailable|The student cannot access the internet in their primary place of residence because internet service is not available.||2.00||
3|Not Desired|NotDesired|The student cannot access the internet in their primary place of residence because the parent or guardian chooses not to subscribe to internet service.||3.00||
4|Other|Other|The reason why a student cannot access the internet in their primary place of residence is not yet defined.||99.00||
