1|Regular school year - school day only|SchoolDay|The project funded in whole or in part by Migrant Education Program funds is  available during the regular school year - school day only.||1.00||
2|Regular school year - school day/extended day|ExtendedDay|The project funded in whole or in part by Migrant Education Program funds is  available during the regular school year - school day/extended day.||2.00||
3|Summer/intersession only|SummerIntersession|The project funded in whole or in part by Migrant Education Program funds is available during summer/intersession only.||3.00||
4|Year round|YearRound|The project funded in whole or in part by Migrant Education Program funds is available year round.||4.00||
