1|Handguns|Handguns|Handguns is the type of firearm.||1.00||
2|Rifles / Shotguns|RiflesShotguns|Rifles / Shotguns is the type of firearm.||2.00||
3|More than one type of weapon or firearm|Multiple|More than one type of weapon or firearm.||3.00||
4|Other|Other|The type of firearm is in a category not yet defined in CEDS.||4.00||
