1|Collected as an hourly wage amount|01|The wage data for an employment record was collected as an hourly wage amount.||1.00||
2|Collected as salary and converted to an hourly wage amount|02|The wage data for an employment record was collected as salary and converted to an hourly wage amount.||2.00||
3|Collected in both methods but method not tracked on an individual record|03|The wage data for an employment record was collected in both methods but method not tracked on an individual record.||3.00||
4|Wage data not present|99|Wage data not present in the employment record.||4.00||
