1|Adult Education Certification|AdultEducationCertification|Adult Education Certification is specified as the category of certification a person holds.||1.00||
2|K-12 Certification|K-12Certification|K-12 Certification is specified as the category of certification a person holds.||2.00||
3|Special Education Certification|SpecialEducationCertification|Special Education Certification is specified as the category of certification a person holds.||3.00||
4|Teachers of English to Speakers of Other Languages (TESOL) Certification|TESOLCertification|Teachers of English to Speakers of Other Languages (TESOL) Certification is specified as the category of certification a person holds.||4.00||
5|None|None|None is specified as the category of certification a person holds.||5.00||
