1|Chromebook|Chromebook|A Chromebook is the type of device the student uses most often to complete learning activities away from school.||1.00||
2|Desktop Computer|DesktopComputer|A desktop computer is the type of device the student uses most often to complete learning activities away from school.||2.00||
3|Laptop Computer|LaptopComputer|A Laptop Computer is the type of device the student uses most often to complete learning activities away from school.||3.00||
4|None|None|There is not a device the student uses to complete learning activities away from school.||4.00||
5|Smartphone|Smartphone|A Smartphone is the type of device the student uses most often to complete learning activities away from school.||5.00||
6|Tablet|Tablet|A Tablet is the type of device the student uses most often to complete learning activities away from school.||6.00||
7|Other|Other|The type of device the student uses most often to complete learning activities away from school is not yet defined.||99.00||
