1|Qualifying exam|Qualifying|Qualifying exam is a type of exam required of doctoral level individuals.||1.00||
2|Oral comprehensive exam|OralComprehensive|Oral comprehensive exam is a type of exam required of doctoral level individuals.||3.00||
3|Written comprehensive exam|WrittenComprehensive|Written comprehensive exam is a type of exam required of doctoral level individuals.||5.00||
4|Candidacy exam|Candidacy|Candidacy exam is a type of exam required of doctoral level individuals.||7.00||
5|Other departmental or institutional exam|Other|Other departmental or institutional exam is a type of exam required of doctoral level individuals.||9.00||
