1|Auditorium (fixed seats)|02768|A space with a stage and audience seating to accommodate performing arts or other activities for a large audience.||1.00||
2|Backstage room/green room|02772|A space for actors and actresses to use before and during performances.||2.00||
3|Control room|02769|A space adjacent to the auditorium and equipped with a viewing area and built-in projection equipment.||3.00||
4|Costume storage area|02770|A space for costume storage.||4.00||
5|Disaster shelter area|03108|A space that provides temporary shelter for individuals whose residences have been made uninhabitable by fire, flood, earthquake, or other major disaster.||5.00||
6|Multi-purpose Room|02773|A space with a stage and movable chairs designed for assemblies, but also usable for other purposes.||6.00||
7|Set storage area|02771|A space for set storage.||7.00||
8|Other|09999|Other is specified as an area designed primarily for theater productions, assemblies, and other large gatherings.||99.00||
