1|District management|02913|The school district procures and oversees the design and construction services for its capital projects.||1.00||
2|Nonschool public agency management|02824|A nonschool governmental agency procures and oversees the design and construction of the school district's capital projects. May be a municipal clerk of the works, separate building authority, or even the Army Corps of Engineers.||2.00||
3|Private management|02823|The school district contracts with private program managers who procure and oversee the design and construction of its capital projects.||3.00||
4|Other|09999|Other is specified as the type of management organization for planning, design, and construction of major capital projects.||99.00||
