1|Language and Literacy|01|Domain related to a child's language and literacy development.||1.00||
2|Cognition and General Knowledge|02|Domain related to a child's cognition and general knowledge (including early mathematics and early scientific development).||2.00||
3|Approaches Toward Learning|03|Domain related to a child's approaches toward learning (including the utilization of the arts).||3.00||
4|Physical Well-being and Motor|04|Domain related to a child's physical well-being and motor development (including adaptive skills).||4.00||
5|Social and Emotional Development|05|Domain related to a child's social and emotional development.||5.00||
